"","WSA9","protection","n"
"1","CPL","GAP12_ctr_pct",81
"2","CPL","GAP123_ctr_pct",94
"3","CPL","GAP12_80pct_pct",16
"4","CPL","GAP123_80pct_pct",23
"5","NAP","GAP12_ctr_pct",19
"6","NAP","GAP123_ctr_pct",48
"7","NAP","GAP12_80pct_pct",12
"8","NAP","GAP123_80pct_pct",23
"9","NPL","GAP12_ctr_pct",10
"10","NPL","GAP123_ctr_pct",13
"11","NPL","GAP123_80pct_pct",3
"12","SAP","GAP123_ctr_pct",2
"13","SPL","GAP123_ctr_pct",1
"14","SPL","GAP123_80pct_pct",1
"15","TPL","GAP12_ctr_pct",11
"16","TPL","GAP123_ctr_pct",16
"17","TPL","GAP12_80pct_pct",2
"18","TPL","GAP123_80pct_pct",2
"19","UMW","GAP12_ctr_pct",30
"20","UMW","GAP123_ctr_pct",63
"21","UMW","GAP12_80pct_pct",32
"22","UMW","GAP123_80pct_pct",43
"23","WMT","GAP12_ctr_pct",37
"24","WMT","GAP123_ctr_pct",63
"25","WMT","GAP12_80pct_pct",28
"26","WMT","GAP123_80pct_pct",53
"27","XER","GAP12_ctr_pct",17
"28","XER","GAP123_ctr_pct",59
"29","XER","GAP12_80pct_pct",9
"30","XER","GAP123_80pct_pct",38
